Code,Name,Price,Performance,Sector
VSVS,VESUVIUS,462.20,0.48,General Industrials
MAB,MITCHELLS & BUT,461.00,-0.02,Travel & Leisure
HFD,HALFORDS,446.40,-0.11,General Retailers
ATST,ALLIANCE TRUST,445.40,-0.02,Equity Investment Instruments
UTG,UNITE GROUP,439.00,0.69,Real Estate Investment & Services
SVI,SVG CAP.,432.00,0.54,Financial Services
SIA,SOCO INTL.,429.40,-1.06,Oil & Gas Producers
ICP,INT.CAP.GRP,428.40,1.13,Financial Services
AML,AMLIN,427.00,0.23,Nonlife Insurance
INVP,INVESTEC,425.90,1.24,Financial Services
FENR,FENNER,421.80,2.38,Industrial Engineering
IAP,ICAP,415.80,-0.02,Financial Services
BDEV,BARRATT DEVEL.,408.80,0.64,Household Goods & Home Construction
PIC,PACE,400.60,0.81,Technology Hardware & Equipment
III,3I GRP.,399.80,-0.32,Financial Services
SRP,SERCO GRP.,399.70,1.14,Support Services
MNKS,MONKS INV.TST.,396.50,0.15,Equity Investment Instruments
AZEM,AZ ELECTRO.,394.50,-0.1,Chemicals
SMP,ST.MODWEN PROP.,393.50,-0.38,Real Estate Investment & Services
JUP,JUPITER FND,386.30,-0.26,Financial Services
PLI,PERPTL.I&G.INV.,383.10,0.29,Equity Investment Instruments
CAPC,CAP & COUNT,381.00,0.79,Real Estate Investment & Services
CRST,CREST NICHOLSON,377.70,-0.81,Household Goods & Home Construction
CTY,CITY LON.,376.00,0.64,Equity Investment Instruments
FRCL,FOR.&COL.IV.TST,376.00,0.13,Equity Investment Instruments
PZC,PZ CUSSONS,374.50,0.08,Personal Goods
SGC,STAGECOACH,369.10,-0.24,Travel & Leisure
HWDN,HOWDEN JOINERY,365.00,-0.03,Support Services
PAG,PARAGON GRP.,364.80,0.88,Financial Services
FOXT,FOXTONS,364.20,0.52,Real Estate Investment & Services
MERL,MERLIN,363.50,0.55,Travel & Leisure
CLLN,CARILLION,363.00,2.05,Support Services
SGRO,SEGRO,355.20,-0.03,Real Estate Investment Trusts
SMDS,SMITH(DS),349.90,1.13,General Industrials
ASHM,ASHMORE,343.90,1.54,Financial Services
UDG,UDG HEALTHCARE,342.00,0.44,Food & Drug Retailers
TLPR,TULLETT PREBON,339.80,1.13,Financial Services
ETO,ENT. ONE DI,332.00,-0.6,Media
MTO,MITIE GRP.,329.50,1.01,Support Services
HSV,HOMESERVE,329.40,-1.47,Support Services
RDW,REDROW,328.90,0.43,Household Goods & Home Construction
ALNT,ALENT,327.70,1.39,Chemicals
LMI,LONMIN,327.40,0.68,Mining
PA.,PARTNERSHIP,324.70,-0.09,Life Insurance
BRW,BREWIN DOLPHIN,320.00,0.47,Financial Services
MGAM,MORGAN ADVANCED,320.00,1.11,Electronic Equipment
BBA,BBA AVIATION,317.60,0.41,Industrial Transportation
RPS,RPS GRP.,316.50,1.22,Support Services
LRD,LAIRD,316.10,1.93,Technology Hardware & Equipment
INTU,INTU PROPERTIES,315.90,-0.22,Real Estate Investment Trusts
DVO,DEVRO,311.70,0.06,Food Producers
TALK,TALKTALK,311.50,0.1,Telecommunications
BBY,BALFOUR B.,309.00,0.52,Construction & Materials
HTY,HELLERMANNTYTON,302.90,0.63,Electronic Equipment
OPHR,OPHIR ENERGY,300.60,0.3,Oil & Gas Producers
CPW,CARPHONE,299.90,1.18,General Retailers
COB,COBHAM,298.40,-0.37,Aerospace & Defence
SNR,SENIOR,292.00,0.48,Aerospace & Defence
NEX,NAT.EXPRESS,289.60,1.44,Travel & Leisure
PMO,PREMIER OIL,286.20,-0.17,Oil & Gas Producers
SYNT,SYNTHOMER,278.20,0.14,Chemicals
ITE,ITE GRP.,277.70,1.35,Media
ESUR,ESURE,276.10,-0.07,Nonlife Insurance
ABG,AFRICAN BARR,273.20,0.11,Mining
ELM,ELEMENTIS,273.10,1.11,Chemicals
BEZ,BEAZLEY,268.50,0.94,Nonlife Insurance
ECM,ELECTROCOMPS.,259.90,2,Support Services
DLG,DIRECT LINE,258.30,0.39,Nonlife Insurance
GNC,GREENCORE GRP.,244.90,-0.49,Food Producers
EFM,EDIN.DRGN.TST.,237.00,0.47,Equity Investment Instruments
TRY,TR PROP.INV.TST,237.00,0.42,Equity Investment Instruments
HGG,HENDERSON GRP,234.70,0.43,Financial Services
GRI,GRAINGER,234.20,0.56,Real Estate Investment & Services
KAZ,KAZAKHMYS,233.90,13.38,Mining
QQ.,QINETIQ,219.40,0.09,Aerospace & Defence
PER,PERFORM,216.00,-0.37,Media
RGU,REGUS,215.60,1.03,Support Services
PFL,PREMIER FARNELL,215.20,1.89,Support Services
SHI,SIG,203.50,1.24,Support Services
IPO,IP GROUP,198.20,0.87,Financial Services
CNE,CAIRN ENERGY,191.10,-0.57,Oil & Gas Producers
HOME,HOME RETAIL,182.00,-2.67,General Retailers
TCG,THOMAS COOK,181.70,-0.98,Travel & Leisure
IMG,IMAGINTN.TECH,179.00,1.42,Technology Hardware & Equipment
MONY,MONEYSUP.,174.50,1.28,Media
BABS,BLUECREST GBP,174.20,0.23,Equity Investment Instruments
FXPO,FERREXPO,170.10,0.95,Industrial Metals
BOK,BOOKER,163.20,0.8,Food & Drug Retailers
ETI,ENT.INNS,151.00,-1.82,Travel & Leisure
PDL,PETRA DIAMONDS,149.90,1.28,Mining
MARS,MARSTON'S,149.80,0.07,Travel & Leisure
LAD,LADBROKES,149.70,2.75,Travel & Leisure
AFR,AFREN,147.90,-0.87,Oil & Gas Producers
888,888 HLDGS,145.50,1.11,Travel & Leisure
RNK,RANK GRP.,144.80,0.84,Travel & Leisure
LMP,LONDONMETRIC,140.50,0.36,Real Estate Investment Trusts
ENQ,ENQUEST,138.70,0.65,Oil & Gas Producers
HICL,HICL INF.,138.50,1.09,Equity Investment Instruments
HAS,HAYS,135.00,0.82,Support Services
FGP,FIRSTGROUP,134.80,0.97,Travel & Leisure
3IN,3I INF. ORD,133.30,0.08,Equity Investment Instruments
COLT,COLT GRP S.A.,127.90,-0.31,Telecommunications
INPP,INTL PUBLIC,126.90,0.32,Equity Investment Instruments
FCAM,F&C ASSET MAN,124.90,0,Financial Services
RTO,RENTOKIL INITL.,124.50,0.89,Support Services
FCPT,F&C COMM PRP,121.60,2.27,Real Estate Investment & Services
TW.,TAYLOR WIMPEY,121.30,0.66,Household Goods & Home Construction
JLIF,JOHN LAING INF,117.20,0.51,Equity Investment Instruments
HSTN,HANSTEEN HLDGS,113.00,-0.26,Real Estate Investment Trusts
BPTY,BWIN.PARTY,110.30,-1.61,Travel & Leisure
FCSS,FIDELITY CHINA,105.80,1.15,Equity Investment Instruments
SPT,SPIRENT,102.00,1.19,Technology Hardware & Equipment
NBLS,NB GLOBAL,101.50,0,Equity Investment Instruments
KCOM,KCOM GRP,100.50,0.9,Telecommunications
EVR,EVRAZ,85.50,2.03,Industrial Metals
EMG,MAN GROUP,82.55,0.36,Financial Services
UKCM,UK COMM PROP,79.00,0.64,Real Estate Investment & Services
DEB,DEBENHAMS,74.40,-2.04,General Retailers
ESSR,ESSAR ENERGY,66.00,10,Oil & Gas Producers
CWC,CABLE&WIRE COM,54.45,-0.09,Telecommunications
CEY,CENTAMIN,51.65,2.79,Mining
DXNS,DIXONS RETAIL,47.03,0.04,General Retailers
BHME,BH MACRO EUR,19.24,0.58,Equity Investment Instruments
BHMU,BH MACRO USD,18.85,0.16,Equity Investment Instruments
KMR,KENMARE RES.,16.90,5.96,Mining
BHGU,BH GLOBAL (USD),11.46,-0.78,Equity Investment Instruments
